발행회차,발행일자,기준월,초기대출건수,초기대출잔액,전월대출잔액,만기전상환금액,당월총상환금액,만기전상환율,기준월대출잔액,기준월대출잔액비율,이자상환금액
MBS 2010-17,2010-12-07,2022-12-10,5752,547319593.6,547319594,1947786,3382998,0.36,543936596,0.1,0
MBS 2010-16,2010-12-23,2022-12-10,3995,300241310.5,300241310,2780691,3476358,0.93,296764952,0.1,0
MBS 2010-15,2010-11-29,2022-12-10,5105,483126958.6,477275016,9988451,10513309,2.09,466761707,0.1,0
MBS 2010-15,2010-11-29,2022-11-10,5105,483126958.6,483126959,5616628,5851943,1.16,477275016,0.1,0
MBS 2010-14,2010-11-19,2022-12-10,1665,217581524.2,216820576,814367,1014867,0.38,215805709,0.1,0
MBS 2010-14,2010-11-19,2022-11-10,1665,217581524.2,217581524,563050,760948,0.26,216820576,0.1,0
MBS 2010-13,2010-10-28,2022-12-10,3786,310376452.4,301430847,5314846,5832821,1.76,295598026,0.1,0
MBS 2010-13,2010-10-28,2022-11-10,3786,310376452.4,307761514,5599551,6330667,1.82,301430847,0.1,0
MBS 2010-13,2010-10-28,2022-10-10,3786,310376452.4,310376452,2442069,2614938,0.79,307761514,0.1,0
MBS 2010-12,2010-09-29,2022-12-10,4068,404243924.8,398211718,1490527,2642286,0.37,395569432,0.1,0
MBS 2010-12,2010-09-29,2022-11-10,4068,404243924.8,400318103,1066995,2106385,0.27,398211718,0.1,0
MBS 2010-12,2010-09-29,2022-10-10,4068,404243924.8,402575605,1516477,2257502,0.38,400318103,0.1,0
MBS 2010-12,2010-09-29,2022-09-10,4068,404243924.8,404243925,0,1668320,0,402575605,0.1,0
MBS 2010-11,2010-09-07,2022-12-10,1664,188607834.9,181411511,2074302,2074302,1.14,179337209,0.1,0
MBS 2010-11,2010-09-07,2022-11-10,1664,188607834.9,184012881,2601272,2601370,1.41,181411511,0.1,0
MBS 2010-11,2010-09-07,2022-10-10,1664,188607834.9,185645391,1632510,1632510,0.88,184012881,0.1,0
MBS 2010-11,2010-09-07,2022-09-10,1664,188607834.9,188607835,1773294,2962444,0.94,185645391,0.1,0
MBS 2010-10,2010-08-26,2022-12-10,4106,368288273.4,355073318,3827378,4443107,1.08,350630211,0.1,0
MBS 2010-10,2010-08-26,2022-11-10,4106,368288273.4,359113463,3393475,4040145,0.94,355073318,0.1,0
MBS 2010-10,2010-08-26,2022-10-10,4106,368288273.4,363284251,3568191,4170788,0.98,359113463,0.1,0
MBS 2010-10,2010-08-26,2022-09-10,4106,368288273.4,365974852,2039764,2690601,0.56,363284251,0.1,0
MBS 2010-10,2010-08-26,2022-08-10,4106,368288273.4,368288273,1718484,2313421,0.47,365974852,0.1,0
MBS 2010-09,2010-07-30,2022-12-10,4201,360221519.7,343716908,6820911,7331661,1.98,336385247,0.09,0
MBS 2010-09,2010-07-30,2022-11-10,4201,360221519.7,348089590,3844077,4372682,1.1,343716908,0.1,0
MBS 2010-09,2010-07-30,2022-10-10,4201,360221519.7,350706185,2151469,2616595,0.61,348089590,0.1,0
MBS 2010-09,2010-07-30,2022-09-10,4201,360221519.7,354371974,3151930,3665789,0.89,350706185,0.1,0
MBS 2010-09,2010-07-30,2022-08-10,4201,360221519.7,358038937,3150610,3666963,0.88,354371974,0.1,0
MBS 2010-09,2010-07-30,2022-07-10,4201,360221519.7,360221520,2000219,2182583,0.56,358038937,0.1,0
MBS 2010-08,2010-08-26,2022-12-10,15140,1001895026,936098773,16814004,17682029,1.8,918416744,0.09,0
MBS 2010-08,2010-08-26,2022-11-10,15140,1001895026,955934215,18822544,19835442,1.97,936098773,0.09,0
MBS 2010-08,2010-08-26,2022-10-10,15140,1001895026,982098945,16271024,26164730,1.66,955934215,0.1,0
MBS 2010-08,2010-08-26,2022-09-10,15140,1001895026,996517085,13679640,14418140,1.37,982098945,0.1,0
MBS 2010-08,2010-08-26,2022-08-10,15140,1001895026,1001895026,7909666,5377941,0.79,996517085,0.1,0
MBS 2010-07,2010-07-08,2022-12-10,4257,390385119.1,367983960,7771462,8379960,2.11,359604000,0.09,0
MBS 2010-07,2010-07-08,2022-11-10,4257,390385119.1,373013517,4212329,5029557,1.13,367983960,0.09,0
MBS 2010-07,2010-07-08,2022-10-10,4257,390385119.1,377116873,3595926,4103356,0.95,373013517,0.1,0
MBS 2010-07,2010-07-08,2022-09-10,4257,390385119.1,380059789,2393070,2942916,0.63,377116873,0.1,0
MBS 2010-07,2010-07-08,2022-08-10,4257,390385119.1,383392646,2777015,3332857,0.72,380059789,0.1,0
MBS 2010-07,2010-07-08,2022-07-10,4257,390385119.1,390385119,5331361,6992473,1.37,383392646,0.1,0
MBS 2010-06,2010-06-24,2022-12-10,6853,642218062.5,586098883,8129375,8557835,1.39,577541048,0.09,0
MBS 2010-06,2010-06-24,2022-11-10,6853,642218062.5,598191179,11783162,12092296,1.97,586098883,0.09,0
MBS 2010-06,2010-06-24,2022-10-10,6853,642218062.5,608971223,10245241,10780044,1.68,598191179,0.09,0
MBS 2010-06,2010-06-24,2022-09-10,6853,642218062.5,616793861,7522734,7822638,1.22,608971223,0.09,0
MBS 2010-06,2010-06-24,2022-08-10,6853,642218062.5,624319915,7332072,7526054,1.17,616793861,0.1,0
MBS 2010-06,2010-06-24,2022-07-10,6853,642218062.5,634245074,9682007,9925159,1.53,624319915,0.1,0
MBS 2010-06,2010-06-24,2022-06-10,6853,642218062.5,642218062,8559944,7972988,1.33,634245074,0.1,0
MBS 2010-05,2010-06-17,2022-12-10,3618,322646287.4,292860938,7893091,8517261,2.7,284343677,0.09,0
MBS 2010-05,2010-06-17,2022-11-10,3618,322646287.4,302778243,9109209,9917305,3.01,292860938,0.09,0
MBS 2010-05,2010-06-17,2022-10-10,3618,322646287.4,306723242,3305960,3944999,1.08,302778243,0.09,0
MBS 2010-05,2010-06-17,2022-09-10,3618,322646287.4,309691070,2450471,2967828,0.79,306723242,0.1,0
MBS 2010-05,2010-06-17,2022-08-10,3618,322646287.4,313795855,3551964,4104785,1.13,309691070,0.1,0
MBS 2010-05,2010-06-17,2022-07-10,3618,322646287.4,317275274,3033722,3479419,0.96,313795855,0.1,0
MBS 2010-05,2010-06-17,2022-06-10,3618,322646287.4,322646287,2735103,5371013,0.85,317275274,0.1,0
