,발행회차,발행일자,기준월,평균 LTV,평균 DTI,조기상환율
0,KHFCMB2022S-13,2022-06-28,2022-06,58.81,27.63,0.2359
1,KHFCMB2022S-12,2022-06-21,2022-06,64.02,32.01,0.2903
2,KHFCMB2022S-11,2022-06-10,2022-06,60.47,29.01,0.2994
3,KHFCMB2022S-10,2022-05-24,2022-06,59.84,29.35,0.3491
4,KHFCMB2022S-10,2022-05-24,2022-05,59.81,29.34,0.2421
5,KHFCMB2022S-09,2022-05-13,2022-06,61.44,29.19,0.2224
6,KHFCMB2022S-09,2022-05-13,2022-05,61.42,29.19,0.1486
7,KHFCMB2022S-08,2022-04-26,2022-06,60.91,28.41,0.2182
8,KHFCMB2022S-08,2022-04-26,2022-05,60.89,28.43,0.1917
9,KHFCMB2022S-08,2022-04-26,2022-04,60.89,28.44,0.3003
10,KHFCMB2022S-07,2022-04-19,2022-06,60.34,29.55,0.3093
11,KHFCMB2022S-07,2022-04-19,2022-05,60.32,29.54,0.259
12,KHFCMB2022S-07,2022-04-19,2022-04,60.32,29.55,0.4167
13,KHFCMB2022S-06,2022-04-08,2022-06,60.57,28.12,0.114
14,KHFCMB2022S-06,2022-04-08,2022-05,60.57,28.12,0.0997
15,KHFCMB2022S-06,2022-04-08,2022-04,60.56,28.13,0.2111
16,KHFCMB2022S-05,2022-03-29,2022-06,61.56,28.08,0.1273
17,KHFCMB2022S-05,2022-03-29,2022-05,61.54,28.09,0.1331
18,KHFCMB2022S-05,2022-03-29,2022-04,61.53,28.08,0.1463
19,KHFCMB2022S-05,2022-03-29,2022-03,61.52,28.09,0.0362
20,KHFCMB2022S-04,2022-03-15,2022-06,61.14,28.72,0.1651
21,KHFCMB2022S-04,2022-03-15,2022-05,61.13,28.72,0.0997
22,KHFCMB2022S-04,2022-03-15,2022-04,61.13,28.72,0.3287
23,KHFCMB2022S-04,2022-03-15,2022-03,61.11,28.74,0.3061
24,KHFCMB2022S-03,2022-02-22,2022-06,60.35,28.14,0.1258
25,KHFCMB2022S-03,2022-02-22,2022-05,60.34,28.15,0.1579
26,KHFCMB2022S-03,2022-02-22,2022-04,60.33,28.15,0.1823
27,KHFCMB2022S-03,2022-02-22,2022-03,60.32,28.14,0.2912
28,KHFCMB2022S-03,2022-02-22,2022-02,60.32,28.15,0.1506
29,KHFCMB2022S-02,2022-02-11,2022-06,59.28,27.83,0.2331
30,KHFCMB2022S-02,2022-02-11,2022-05,59.27,27.83,0.2138
31,KHFCMB2022S-02,2022-02-11,2022-04,59.25,27.83,0.1563
32,KHFCMB2022S-02,2022-02-11,2022-03,59.25,27.83,0.1775
33,KHFCMB2022S-02,2022-02-11,2022-02,59.24,27.84,0.2133
34,KHFCMB2022S-01,2022-01-21,2022-06,59.35,27.74,0.117
35,KHFCMB2022S-01,2022-01-21,2022-05,59.35,27.74,0.2073
36,KHFCMB2022S-01,2022-01-21,2022-04,59.34,27.75,0.1769
37,KHFCMB2022S-01,2022-01-21,2022-03,59.33,27.76,0.323
38,KHFCMB2022S-01,2022-01-21,2022-02,59.32,27.76,0.2741
39,KHFCMB2022S-01,2022-01-21,2022-01,59.3,27.76,0.1869
40,KHFCMB2021S-26,2021-12-14,2022-06,61.08,27.92,0.2272
41,KHFCMB2021S-26,2021-12-14,2022-05,61.08,27.94,0.0899
42,KHFCMB2021S-26,2021-12-14,2022-04,61.07,27.94,0.1332
43,KHFCMB2021S-26,2021-12-14,2022-03,61.06,27.94,0.2266
44,KHFCMB2021S-26,2021-12-14,2022-02,61.04,27.95,0.2077
45,KHFCMB2021S-26,2021-12-14,2022-01,61.04,27.94,0.3319
46,KHFCMB2021S-26,2021-12-14,2021-12,61.03,27.93,0.2407
47,KHFCMB2021S-25,2021-12-03,2022-06,61.54,29.07,0.4068
48,KHFCMB2021S-25,2021-12-03,2022-05,61.53,29.08,0.2943
49,KHFCMB2021S-25,2021-12-03,2022-04,61.51,29.08,0.2975
50,KHFCMB2021S-25,2021-12-03,2022-03,61.48,29.08,0.2882
51,KHFCMB2021S-25,2021-12-03,2022-02,61.47,29.09,0.3821
52,KHFCMB2021S-25,2021-12-03,2022-01,61.46,29.11,0.3634
53,KHFCMB2021S-25,2021-12-03,2021-12,61.44,29.11,0.4243
54,KHFCMB2021S-24,2021-11-19,2022-06,60.67,28.33,0.2538
55,KHFCMB2021S-24,2021-11-19,2022-05,60.66,28.34,0.2253
56,KHFCMB2021S-24,2021-11-19,2022-04,60.66,28.35,0.193
57,KHFCMB2021S-24,2021-11-19,2022-03,60.65,28.36,0.2325
58,KHFCMB2021S-24,2021-11-19,2022-02,60.65,28.36,0.2457
59,KHFCMB2021S-24,2021-11-19,2022-01,60.63,28.36,0.2527
60,KHFCMB2021S-24,2021-11-19,2021-12,60.62,28.37,0.327
61,KHFCMB2021S-24,2021-11-19,2021-11,60.61,28.39,0.189
62,KHFCMB2021S-23,2021-10-22,2022-06,60.93,28.48,0.3286
63,KHFCMB2021S-23,2021-10-22,2022-05,60.92,28.48,0.2539
64,KHFCMB2021S-23,2021-10-22,2022-04,60.91,28.48,0.252
65,KHFCMB2021S-23,2021-10-22,2022-03,60.91,28.48,0.2985
66,KHFCMB2021S-23,2021-10-22,2022-02,60.9,28.48,0.3515
67,KHFCMB2021S-23,2021-10-22,2022-01,60.9,28.49,0.3134
68,KHFCMB2021S-23,2021-10-22,2021-12,60.9,28.49,0.3746
69,KHFCMB2021S-23,2021-10-22,2021-11,60.9,28.49,0.3372
70,KHFCMB2021S-23,2021-10-22,2021-10,60.88,28.5,0.2235
71,KHFCMB2021S-22,2021-10-15,2022-06,66.98,32.35,2.1699
72,KHFCMB2021S-22,2021-10-15,2022-05,67.03,32.51,0.7063
73,KHFCMB2021S-22,2021-10-15,2022-04,67.04,32.56,0.9265
74,KHFCMB2021S-22,2021-10-15,2022-03,67.0,32.51,1.1802
75,KHFCMB2021S-22,2021-10-15,2022-02,67.01,32.49,1.2308
76,KHFCMB2021S-22,2021-10-15,2022-01,67.03,32.51,1.2582
77,KHFCMB2021S-22,2021-10-15,2021-12,67.01,32.51,0.3223
78,KHFCMB2021S-22,2021-10-15,2021-11,66.98,32.45,1.7897
79,KHFCMB2021S-22,2021-10-15,2021-10,66.99,32.56,1.1344
80,KHFCMB2021S-21,2021-09-17,2022-06,63.69,33.14,0.6108
81,KHFCMB2021S-21,2021-09-17,2022-05,63.68,33.13,0.526
82,KHFCMB2021S-21,2021-09-17,2022-04,63.68,33.14,0.5536
83,KHFCMB2021S-21,2021-09-17,2022-03,63.67,33.14,0.635
84,KHFCMB2021S-21,2021-09-17,2022-02,63.66,33.16,0.7305
85,KHFCMB2021S-21,2021-09-17,2022-01,63.65,33.12,0.7867
86,KHFCMB2021S-21,2021-09-17,2021-12,63.62,33.1,0.7528
87,KHFCMB2021S-21,2021-09-17,2021-11,63.61,33.1,0.9129
88,KHFCMB2021S-21,2021-09-17,2021-10,63.61,33.11,0.5965
89,KHFCMB2021S-21,2021-09-17,2021-09,63.6,33.08,0.4676
90,KHFCMB2021S-20,2021-09-03,2022-06,61.49,27.76,0.2873
91,KHFCMB2021S-20,2021-09-03,2022-05,61.49,27.76,0.2186
92,KHFCMB2021S-20,2021-09-03,2022-04,61.48,27.77,0.2086
93,KHFCMB2021S-20,2021-09-03,2022-03,61.47,27.77,0.2628
94,KHFCMB2021S-20,2021-09-03,2022-02,61.46,27.77,0.2236
95,KHFCMB2021S-20,2021-09-03,2022-01,61.45,27.78,0.367
96,KHFCMB2021S-20,2021-09-03,2021-12,61.44,27.79,0.2279
97,KHFCMB2021S-20,2021-09-03,2021-11,61.43,27.81,0.3817
98,KHFCMB2021S-20,2021-09-03,2021-10,61.43,27.83,0.2681
99,KHFCMB2021S-20,2021-09-03,2021-09,61.42,27.83,0.3954
100,KHFCMB2021S-19,2021-08-27,2022-06,52.37,31.76,0.3868
101,KHFCMB2021S-19,2021-08-27,2022-05,52.34,31.72,0.1054
102,KHFCMB2021S-19,2021-08-27,2022-04,52.33,31.71,0.3619
103,KHFCMB2021S-19,2021-08-27,2022-03,52.36,31.7,0.6093
104,KHFCMB2021S-19,2021-08-27,2022-02,52.36,31.67,0.0329
105,KHFCMB2021S-19,2021-08-27,2022-01,52.37,31.67,0.1477
106,KHFCMB2021S-19,2021-08-27,2021-12,52.37,31.66,0.3763
107,KHFCMB2021S-19,2021-08-27,2021-11,52.38,31.65,1.4407
108,KHFCMB2021S-19,2021-08-27,2021-10,52.49,31.63,1.3756
109,KHFCMB2021S-19,2021-08-27,2021-09,52.54,31.64,2.7806
110,KHFCMB2021S-19,2021-08-27,2021-08,52.69,31.74,2.17
111,KHFCMB2021S-18,2021-08-20,2022-06,59.9,27.41,0.3828
112,KHFCMB2021S-18,2021-08-20,2022-05,59.89,27.41,0.3175
113,KHFCMB2021S-18,2021-08-20,2022-04,59.88,27.41,0.409
114,KHFCMB2021S-18,2021-08-20,2022-03,59.86,27.42,0.2437
115,KHFCMB2021S-18,2021-08-20,2022-02,59.85,27.42,0.3007
116,KHFCMB2021S-18,2021-08-20,2022-01,59.84,27.42,0.2626
117,KHFCMB2021S-18,2021-08-20,2021-12,59.83,27.44,0.2658
118,KHFCMB2021S-18,2021-08-20,2021-11,59.82,27.44,0.2964
119,KHFCMB2021S-18,2021-08-20,2021-10,59.82,27.45,0.3122
120,KHFCMB2021S-18,2021-08-20,2021-09,59.81,27.46,0.3383
121,KHFCMB2021S-18,2021-08-20,2021-08,59.8,27.47,0.3559
122,KHFCMB2021S-17,2021-08-06,2022-06,59.69,28.05,0.2605
123,KHFCMB2021S-17,2021-08-06,2022-05,59.69,28.05,0.2568
124,KHFCMB2021S-17,2021-08-06,2022-04,59.68,28.05,0.2201
125,KHFCMB2021S-17,2021-08-06,2022-03,59.67,28.05,0.2837
126,KHFCMB2021S-17,2021-08-06,2022-02,59.67,28.06,0.2576
127,KHFCMB2021S-17,2021-08-06,2022-01,59.66,28.06,0.2733
128,KHFCMB2021S-17,2021-08-06,2021-12,59.66,28.08,0.2433
129,KHFCMB2021S-17,2021-08-06,2021-11,59.65,28.1,0.3302
130,KHFCMB2021S-17,2021-08-06,2021-10,59.64,28.11,0.2483
131,KHFCMB2021S-17,2021-08-06,2021-09,59.64,28.11,0.3165
132,KHFCMB2021S-17,2021-08-06,2021-08,59.63,28.11,0.3377
133,KHFCMB2021S-16,2021-07-23,2022-06,58.85,27.16,0.2865
134,KHFCMB2021S-16,2021-07-23,2022-05,58.83,27.16,0.1184
135,KHFCMB2021S-16,2021-07-23,2022-04,58.82,27.16,0.2317
136,KHFCMB2021S-16,2021-07-23,2022-03,58.81,27.16,0.1397
137,KHFCMB2021S-16,2021-07-23,2022-02,58.8,27.16,0.2679
138,KHFCMB2021S-16,2021-07-23,2022-01,58.81,27.16,0.2597
139,KHFCMB2021S-16,2021-07-23,2021-12,58.81,27.15,0.2801
140,KHFCMB2021S-16,2021-07-23,2021-11,58.78,27.15,0.2158
141,KHFCMB2021S-16,2021-07-23,2021-10,58.76,27.16,0.2987
142,KHFCMB2021S-16,2021-07-23,2021-09,58.75,27.17,0.1345
143,KHFCMB2021S-16,2021-07-23,2021-08,58.73,27.16,0.2583
144,KHFCMB2021S-16,2021-07-23,2021-07,58.72,27.17,0.1799
145,KHFCMB2021S-15,2021-07-09,2022-06,58.73,27.57,0.2968
146,KHFCMB2021S-15,2021-07-09,2022-05,58.72,27.56,0.317
147,KHFCMB2021S-15,2021-07-09,2022-04,58.71,27.56,0.1735
148,KHFCMB2021S-15,2021-07-09,2022-03,58.71,27.56,0.225
149,KHFCMB2021S-15,2021-07-09,2022-02,58.7,27.55,0.2322
150,KHFCMB2021S-15,2021-07-09,2022-01,58.68,27.56,0.1825
151,KHFCMB2021S-15,2021-07-09,2021-12,58.67,27.56,0.2371
152,KHFCMB2021S-15,2021-07-09,2021-11,58.67,27.56,0.2564
153,KHFCMB2021S-15,2021-07-09,2021-10,58.65,27.56,0.2298
154,KHFCMB2021S-15,2021-07-09,2021-09,58.65,27.58,0.2686
155,KHFCMB2021S-15,2021-07-09,2021-08,58.63,27.58,0.2861
156,KHFCMB2021S-15,2021-07-09,2021-07,58.62,27.58,0.3085
157,KHFCMB2021S-14,2021-06-25,2022-06,56.32,27.71,0.2053
158,KHFCMB2021S-14,2021-06-25,2022-05,56.31,27.71,0.1766
159,KHFCMB2021S-14,2021-06-25,2022-04,56.31,27.71,0.1584
160,KHFCMB2021S-14,2021-06-25,2022-03,56.3,27.72,0.2911
161,KHFCMB2021S-14,2021-06-25,2022-02,56.3,27.73,0.1702
162,KHFCMB2021S-14,2021-06-25,2022-01,56.28,27.73,0.1803
163,KHFCMB2021S-14,2021-06-25,2021-12,56.28,27.72,0.1468
164,KHFCMB2021S-14,2021-06-25,2021-11,56.28,27.73,0.192
165,KHFCMB2021S-14,2021-06-25,2021-10,56.27,27.74,0.1752
166,KHFCMB2021S-14,2021-06-25,2021-09,56.27,27.74,0.1652
167,KHFCMB2021S-14,2021-06-25,2021-08,56.25,27.74,0.275
168,KHFCMB2021S-14,2021-06-25,2021-07,56.24,27.74,0.3607
169,KHFCMB2021S-14,2021-06-25,2021-06,56.24,27.74,0.1304
170,KHFCMB2021S-13,2021-06-15,2022-06,59.06,27.22,0.2494
171,KHFCMB2021S-13,2021-06-15,2022-05,59.05,27.23,0.2524
172,KHFCMB2021S-13,2021-06-15,2022-04,59.04,27.24,0.2034
173,KHFCMB2021S-13,2021-06-15,2022-03,59.04,27.25,0.3108
174,KHFCMB2021S-13,2021-06-15,2022-02,59.03,27.25,0.3038
175,KHFCMB2021S-13,2021-06-15,2022-01,59.03,27.26,0.1928
176,KHFCMB2021S-13,2021-06-15,2021-12,59.02,27.26,0.2029
177,KHFCMB2021S-13,2021-06-15,2021-11,59.01,27.26,0.1916
178,KHFCMB2021S-13,2021-06-15,2021-10,58.99,27.27,0.248
179,KHFCMB2021S-13,2021-06-15,2021-09,58.99,27.28,0.1999
180,KHFCMB2021S-13,2021-06-15,2021-08,58.97,27.29,0.2089
181,KHFCMB2021S-13,2021-06-15,2021-07,58.95,27.29,0.3328
182,KHFCMB2021S-13,2021-06-15,2021-06,58.94,27.3,0.1935
183,KHFCMB2021S-12,2021-05-25,2022-06,58.54,27.32,0.1876
184,KHFCMB2021S-12,2021-05-25,2022-05,58.53,27.31,0.1588
185,KHFCMB2021S-12,2021-05-25,2022-04,58.53,27.31,0.1579
186,KHFCMB2021S-12,2021-05-25,2022-03,58.52,27.31,0.1394
187,KHFCMB2021S-12,2021-05-25,2022-02,58.52,27.3,0.2233
188,KHFCMB2021S-12,2021-05-25,2022-01,58.51,27.3,0.1915
189,KHFCMB2021S-12,2021-05-25,2021-12,58.5,27.3,0.2085
190,KHFCMB2021S-12,2021-05-25,2021-11,58.48,27.3,0.2316
191,KHFCMB2021S-12,2021-05-25,2021-10,58.47,27.3,0.2404
192,KHFCMB2021S-12,2021-05-25,2021-09,58.46,27.29,0.197
193,KHFCMB2021S-12,2021-05-25,2021-08,58.45,27.29,0.2705
194,KHFCMB2021S-12,2021-05-25,2021-07,58.44,27.28,0.1647
195,KHFCMB2021S-12,2021-05-25,2021-06,58.44,27.26,0.2094
196,KHFCMB2021S-11,2021-05-14,2022-06,57.5,27.08,0.1855
197,KHFCMB2021S-11,2021-05-14,2022-05,57.5,27.07,0.2311
198,KHFCMB2021S-11,2021-05-14,2022-04,57.47,27.06,0.2335
199,KHFCMB2021S-11,2021-05-14,2022-03,57.46,27.06,0.2351
200,KHFCMB2021S-11,2021-05-14,2022-02,57.46,27.05,0.1761
201,KHFCMB2021S-11,2021-05-14,2022-01,57.45,27.05,0.3116
202,KHFCMB2021S-11,2021-05-14,2021-12,57.42,27.04,0.2705
203,KHFCMB2021S-11,2021-05-14,2021-11,57.4,27.03,0.2918
204,KHFCMB2021S-11,2021-05-14,2021-10,57.37,27.03,0.225
205,KHFCMB2021S-11,2021-05-14,2021-09,57.35,27.05,0.1414
206,KHFCMB2021S-11,2021-05-14,2021-08,57.34,27.04,0.2667
207,KHFCMB2021S-11,2021-05-14,2021-07,57.32,27.03,0.3175
208,KHFCMB2021S-11,2021-05-14,2021-06,57.32,27.04,0.1552
209,KHFCMB2021S-10,2021-05-07,2022-06,55.99,27.02,0.1869
210,KHFCMB2021S-10,2021-05-07,2022-05,55.97,27.02,0.1879
211,KHFCMB2021S-10,2021-05-07,2022-04,55.96,27.01,0.2249
212,KHFCMB2021S-10,2021-05-07,2022-03,55.95,27.01,0.2348
213,KHFCMB2021S-10,2021-05-07,2022-02,55.95,27.01,0.2848
214,KHFCMB2021S-10,2021-05-07,2022-01,55.94,27.02,0.2468
215,KHFCMB2021S-10,2021-05-07,2021-12,55.94,27.02,0.2256
216,KHFCMB2021S-10,2021-05-07,2021-11,55.93,27.02,0.2308
217,KHFCMB2021S-10,2021-05-07,2021-10,55.93,27.02,0.1924
218,KHFCMB2021S-10,2021-05-07,2021-09,55.93,27.01,0.3179
219,KHFCMB2021S-10,2021-05-07,2021-08,55.92,27.02,0.2295
220,KHFCMB2021S-10,2021-05-07,2021-07,55.9,27.02,0.2425
221,KHFCMB2021S-10,2021-05-07,2021-06,55.89,27.01,0.2263
222,KHFCMB2021S-09,2021-04-23,2022-06,57.26,27.33,0.1843
223,KHFCMB2021S-09,2021-04-23,2022-05,57.25,27.32,0.2564
224,KHFCMB2021S-09,2021-04-23,2022-04,57.24,27.31,0.1762
225,KHFCMB2021S-09,2021-04-23,2022-03,57.23,27.31,0.2117
226,KHFCMB2021S-09,2021-04-23,2022-02,57.22,27.31,0.177
227,KHFCMB2021S-09,2021-04-23,2022-01,57.21,27.31,0.2096
228,KHFCMB2021S-09,2021-04-23,2021-12,57.21,27.31,0.2781
229,KHFCMB2021S-09,2021-04-23,2021-11,57.19,27.31,0.2249
230,KHFCMB2021S-09,2021-04-23,2021-10,57.18,27.31,0.1878
231,KHFCMB2021S-09,2021-04-23,2021-09,57.17,27.31,0.2447
232,KHFCMB2021S-09,2021-04-23,2021-08,57.15,27.31,0.2619
233,KHFCMB2021S-09,2021-04-23,2021-07,57.13,27.31,0.1992
234,KHFCMB2021S-09,2021-04-23,2021-06,57.12,27.31,0.2476
235,KHFCMB2021S-08,2021-04-13,2022-06,58.72,27.03,0.1964
236,KHFCMB2021S-08,2021-04-13,2022-05,58.71,27.04,0.2003
237,KHFCMB2021S-08,2021-04-13,2022-04,58.71,27.04,0.1355
238,KHFCMB2021S-08,2021-04-13,2022-03,58.69,27.03,0.2125
239,KHFCMB2021S-08,2021-04-13,2022-02,58.68,27.04,0.2839
240,KHFCMB2021S-08,2021-04-13,2022-01,58.68,27.05,0.2748
241,KHFCMB2021S-08,2021-04-13,2021-12,58.67,27.05,0.3359
242,KHFCMB2021S-08,2021-04-13,2021-11,58.66,27.06,0.2044
243,KHFCMB2021S-08,2021-04-13,2021-10,58.63,27.06,0.285
244,KHFCMB2021S-08,2021-04-13,2021-09,58.62,27.05,0.2321
245,KHFCMB2021S-08,2021-04-13,2021-08,58.61,27.06,0.1795
246,KHFCMB2021S-08,2021-04-13,2021-07,58.59,27.07,0.2179
247,KHFCMB2021S-08,2021-04-13,2021-06,58.59,27.07,0.2293
248,KHFCMB2021S-07,2021-04-02,2022-06,59.95,26.56,0.1886
249,KHFCMB2021S-07,2021-04-02,2022-05,59.94,26.57,0.1819
250,KHFCMB2021S-07,2021-04-02,2022-04,59.93,26.56,0.1112
251,KHFCMB2021S-07,2021-04-02,2022-03,59.93,26.56,0.2621
252,KHFCMB2021S-07,2021-04-02,2022-02,59.91,26.56,0.2918
253,KHFCMB2021S-07,2021-04-02,2022-01,59.91,26.56,0.2017
254,KHFCMB2021S-07,2021-04-02,2021-12,59.9,26.57,0.2736
255,KHFCMB2021S-07,2021-04-02,2021-11,59.88,26.56,0.2064
256,KHFCMB2021S-07,2021-04-02,2021-10,59.85,26.55,0.2379
257,KHFCMB2021S-07,2021-04-02,2021-09,59.84,26.56,0.1798
258,KHFCMB2021S-07,2021-04-02,2021-08,59.83,26.55,0.2778
259,KHFCMB2021S-07,2021-04-02,2021-07,59.81,26.55,0.1455
260,KHFCMB2021S-07,2021-04-02,2021-06,59.8,26.55,0.1697
261,KHFCMB2021S-06,2021-03-26,2022-06,57.8,27.01,0.3053
262,KHFCMB2021S-06,2021-03-26,2022-05,57.8,27.02,0.1856
263,KHFCMB2021S-06,2021-03-26,2022-04,57.8,27.02,0.1567
264,KHFCMB2021S-06,2021-03-26,2022-03,57.8,27.02,0.2556
265,KHFCMB2021S-06,2021-03-26,2022-02,57.79,27.02,0.2919
266,KHFCMB2021S-06,2021-03-26,2022-01,57.79,27.02,0.2365
267,KHFCMB2021S-06,2021-03-26,2021-12,57.78,27.02,0.3481
268,KHFCMB2021S-06,2021-03-26,2021-11,57.79,27.02,0.3547
269,KHFCMB2021S-06,2021-03-26,2021-10,57.77,27.02,0.2557
270,KHFCMB2021S-06,2021-03-26,2021-09,57.75,27.01,0.3033
271,KHFCMB2021S-06,2021-03-26,2021-08,57.74,27.01,0.3034
272,KHFCMB2021S-06,2021-03-26,2021-07,57.74,27.01,0.2828
273,KHFCMB2021S-06,2021-03-26,2021-06,57.72,27.02,0.2495
274,KHFCMB2021S-06,2021-03-26,2021-03,57.7,27.0,0.12
275,KHFCMB2021S-05,2021-03-12,2022-06,58.81,27.21,0.3481
276,KHFCMB2021S-05,2021-03-12,2022-05,58.81,27.21,0.2195
277,KHFCMB2021S-05,2021-03-12,2022-04,58.8,27.21,0.2217
278,KHFCMB2021S-05,2021-03-12,2022-03,58.79,27.22,0.244
279,KHFCMB2021S-05,2021-03-12,2022-02,58.78,27.23,0.264
280,KHFCMB2021S-05,2021-03-12,2022-01,58.77,27.23,0.2316
281,KHFCMB2021S-05,2021-03-12,2021-12,58.75,27.22,0.3472
282,KHFCMB2021S-05,2021-03-12,2021-11,58.74,27.24,0.3354
283,KHFCMB2021S-05,2021-03-12,2021-10,58.71,27.25,0.2542
284,KHFCMB2021S-05,2021-03-12,2021-09,58.7,27.24,0.2873
285,KHFCMB2021S-05,2021-03-12,2021-08,58.69,27.24,0.303
286,KHFCMB2021S-05,2021-03-12,2021-07,58.67,27.25,0.3869
287,KHFCMB2021S-05,2021-03-12,2021-06,58.66,27.25,0.2984
288,KHFCMB2021S-05,2021-03-12,2021-03,58.63,27.27,0.26
289,KHFCMB2021S-04,2021-02-19,2022-06,58.79,26.73,0.1672
290,KHFCMB2021S-04,2021-02-19,2022-05,58.78,26.73,0.1193
291,KHFCMB2021S-04,2021-02-19,2022-04,58.76,26.73,0.2715
292,KHFCMB2021S-04,2021-02-19,2022-03,58.73,26.73,0.2198
293,KHFCMB2021S-04,2021-02-19,2022-02,58.73,26.73,0.212
294,KHFCMB2021S-04,2021-02-19,2022-01,58.73,26.73,0.2267
295,KHFCMB2021S-04,2021-02-19,2021-12,58.72,26.72,0.2101
296,KHFCMB2021S-04,2021-02-19,2021-11,58.7,26.72,0.3666
297,KHFCMB2021S-04,2021-02-19,2021-10,58.69,26.73,0.3103
298,KHFCMB2021S-04,2021-02-19,2021-09,58.68,26.72,0.3294
299,KHFCMB2021S-04,2021-02-19,2021-08,58.66,26.71,0.1541
300,KHFCMB2021S-04,2021-02-19,2021-07,58.65,26.71,0.4923
301,KHFCMB2021S-04,2021-02-19,2021-06,58.6,26.7,0.3309
302,KHFCMB2021S-04,2021-02-19,2021-03,58.55,26.68,0.21
303,KHFCMB2021S-04,2021-02-19,2021-02,58.54,26.68,0.17
304,KHFCMB2021S-03,2021-02-05,2022-06,58.8,26.95,0.3332
305,KHFCMB2021S-03,2021-02-05,2022-05,58.8,26.94,0.2381
306,KHFCMB2021S-03,2021-02-05,2022-04,58.79,26.94,0.2563
307,KHFCMB2021S-03,2021-02-05,2022-03,58.77,26.95,0.2467
308,KHFCMB2021S-03,2021-02-05,2022-02,58.76,26.96,0.3009
309,KHFCMB2021S-03,2021-02-05,2022-01,58.75,26.97,0.254
310,KHFCMB2021S-03,2021-02-05,2021-12,58.74,26.97,0.322
311,KHFCMB2021S-03,2021-02-05,2021-11,58.74,26.97,0.3454
312,KHFCMB2021S-03,2021-02-05,2021-10,58.71,26.96,0.3936
313,KHFCMB2021S-03,2021-02-05,2021-09,58.71,26.98,0.228
314,KHFCMB2021S-03,2021-02-05,2021-08,58.7,26.98,0.4036
315,KHFCMB2021S-03,2021-02-05,2021-07,58.69,26.99,0.3087
316,KHFCMB2021S-03,2021-02-05,2021-06,58.68,26.98,0.3046
317,KHFCMB2021S-03,2021-02-05,2021-03,58.65,26.99,0.39
318,KHFCMB2021S-03,2021-02-05,2021-02,58.63,26.99,0.32
319,KHFCMB2021S-02,2021-01-22,2022-06,59.87,27.43,0.3314
320,KHFCMB2021S-02,2021-01-22,2022-05,59.86,27.45,0.2452
321,KHFCMB2021S-02,2021-01-22,2022-04,59.86,27.45,0.2104
322,KHFCMB2021S-02,2021-01-22,2022-03,59.85,27.46,0.3063
323,KHFCMB2021S-02,2021-01-22,2022-02,59.84,27.46,0.1943
324,KHFCMB2021S-02,2021-01-22,2022-01,59.84,27.48,0.1979
325,KHFCMB2021S-02,2021-01-22,2021-12,59.83,27.48,0.2857
326,KHFCMB2021S-02,2021-01-22,2021-11,59.81,27.49,0.4196
327,KHFCMB2021S-02,2021-01-22,2021-10,59.78,27.49,0.3625
328,KHFCMB2021S-02,2021-01-22,2021-09,59.77,27.49,0.3437
329,KHFCMB2021S-02,2021-01-22,2021-08,59.75,27.5,0.3192
330,KHFCMB2021S-02,2021-01-22,2021-07,59.74,27.52,0.2871
331,KHFCMB2021S-02,2021-01-22,2021-06,59.71,27.52,0.2707
332,KHFCMB2021S-02,2021-01-22,2021-03,59.68,27.55,0.39
333,KHFCMB2021S-02,2021-01-22,2021-02,59.67,27.55,0.29
334,KHFCMB2021S-02,2021-01-22,2021-01,59.65,27.56,0.13
335,KHFCMB2021S-01,2021-01-15,2022-06,59.59,27.71,0.2693
336,KHFCMB2021S-01,2021-01-15,2022-05,59.58,27.72,0.2042
337,KHFCMB2021S-01,2021-01-15,2022-04,59.58,27.73,0.3138
338,KHFCMB2021S-01,2021-01-15,2022-03,59.58,27.74,0.1985
339,KHFCMB2021S-01,2021-01-15,2022-02,59.57,27.74,0.279
340,KHFCMB2021S-01,2021-01-15,2022-01,59.56,27.74,0.3299
341,KHFCMB2021S-01,2021-01-15,2021-12,59.54,27.76,0.2844
342,KHFCMB2021S-01,2021-01-15,2021-11,59.53,27.77,0.3132
343,KHFCMB2021S-01,2021-01-15,2021-10,59.51,27.78,0.278
344,KHFCMB2021S-01,2021-01-15,2021-09,59.49,27.78,0.3334
345,KHFCMB2021S-01,2021-01-15,2021-08,59.47,27.78,0.4218
346,KHFCMB2021S-01,2021-01-15,2021-07,59.46,27.8,0.3839
347,KHFCMB2021S-01,2021-01-15,2021-06,59.46,27.81,0.2674
348,KHFCMB2021S-01,2021-01-15,2021-03,59.43,27.84,0.46
349,KHFCMB2021S-01,2021-01-15,2021-02,59.41,27.84,0.44
350,KHFCMB2021S-01,2021-01-15,2021-01,59.4,27.85,0.26
351,KHFCMB2020S-39,2020-12-11,2022-06,58.78,26.69,0.2726
352,KHFCMB2020S-39,2020-12-11,2022-05,58.76,26.69,0.2387
353,KHFCMB2020S-39,2020-12-11,2022-04,58.73,26.69,0.2299
354,KHFCMB2020S-39,2020-12-11,2022-03,58.72,26.69,0.2444
355,KHFCMB2020S-39,2020-12-11,2022-02,58.7,26.68,0.2596
356,KHFCMB2020S-39,2020-12-11,2022-01,58.69,26.67,0.2389
357,KHFCMB2020S-39,2020-12-11,2021-12,58.67,26.67,0.202
358,KHFCMB2020S-39,2020-12-11,2021-11,58.65,26.67,0.3626
