,발행회차,발행일자,기준월,만기전상환율
0,MBS 2004-07,2004-12-28,2004-12,0.34
1,MBS 2004-06,2004-11-30,2004-12,0.48
2,MBS 2004-06,2004-11-30,2004-11,0.33
3,MBS 2004-05,2004-10-28,2004-12,0.86
4,MBS 2004-05,2004-10-28,2004-11,0.06
5,MBS 2004-05,2004-10-28,2004-10,0.02
6,MBS 2004-04,2004-09-23,2004-12,0.8
7,MBS 2004-04,2004-09-23,2004-11,0.04
8,MBS 2004-04,2004-09-23,2004-10,0.74
9,MBS 2004-04,2004-09-23,2004-09,0.38
10,MBS 2004-03,2004-08-18,2004-12,0.87
11,MBS 2004-03,2004-08-18,2004-11,0.63
12,MBS 2004-03,2004-08-18,2004-10,0.56
13,MBS 2004-03,2004-08-18,2004-09,0.44
14,MBS 2004-03,2004-08-18,2004-08,0.0
15,MBS 2004-02,2004-07-28,2004-12,0.64
16,MBS 2004-02,2004-07-28,2004-11,0.49
17,MBS 2004-02,2004-07-28,2004-10,0.8
18,MBS 2004-02,2004-07-28,2004-09,0.41
19,MBS 2004-02,2004-07-28,2004-08,0.39
20,MBS 2004-02,2004-07-28,2004-07,0.18
21,MBS 2004-01,2004-06-15,2004-12,0.7
22,MBS 2004-01,2004-06-15,2004-11,0.6
23,MBS 2004-01,2004-06-15,2004-10,0.42
24,MBS 2004-01,2004-06-15,2004-09,0.29
25,MBS 2004-01,2004-06-15,2004-08,0.42
26,MBS 2004-01,2004-06-15,2004-07,0.36
27,MBS 2004-01,2004-06-15,2004-06,0.51
28,MBS 2010-17,2010-12-07,2010-12,0.36
29,MBS 2010-16,2010-12-23,2010-12,0.93
30,MBS 2010-15,2010-11-29,2010-12,2.09
31,MBS 2010-15,2010-11-29,2010-11,1.16
32,MBS 2010-14,2010-11-19,2010-12,0.38
33,MBS 2010-14,2010-11-19,2010-11,0.26
34,MBS 2010-13,2010-10-28,2010-12,1.76
35,MBS 2010-13,2010-10-28,2010-11,1.82
36,MBS 2010-13,2010-10-28,2010-10,0.79
37,MBS 2010-12,2010-09-29,2010-12,0.37
38,MBS 2010-12,2010-09-29,2010-11,0.27
39,MBS 2010-12,2010-09-29,2010-10,0.38
40,MBS 2010-12,2010-09-29,2010-09,0.0
41,MBS 2010-11,2010-09-07,2010-12,1.14
42,MBS 2010-11,2010-09-07,2010-11,1.41
43,MBS 2010-11,2010-09-07,2010-10,0.88
44,MBS 2010-11,2010-09-07,2010-09,0.94
45,MBS 2010-10,2010-08-26,2010-12,1.08
46,MBS 2010-10,2010-08-26,2010-11,0.94
47,MBS 2010-10,2010-08-26,2010-10,0.98
48,MBS 2010-10,2010-08-26,2010-09,0.56
49,MBS 2010-10,2010-08-26,2010-08,0.47
50,MBS 2010-09,2010-07-30,2010-12,1.98
51,MBS 2010-09,2010-07-30,2010-11,1.1
52,MBS 2010-09,2010-07-30,2010-10,0.61
53,MBS 2010-09,2010-07-30,2010-09,0.89
54,MBS 2010-09,2010-07-30,2010-08,0.88
55,MBS 2010-09,2010-07-30,2010-07,0.56
56,MBS 2010-08,2010-08-26,2010-12,1.8
57,MBS 2010-08,2010-08-26,2010-11,1.97
58,MBS 2010-08,2010-08-26,2010-10,1.66
59,MBS 2010-08,2010-08-26,2010-09,1.37
60,MBS 2010-08,2010-08-26,2010-08,0.79
61,MBS 2010-07,2010-07-08,2010-12,2.11
62,MBS 2010-07,2010-07-08,2010-11,1.13
63,MBS 2010-07,2010-07-08,2010-10,0.95
64,MBS 2010-07,2010-07-08,2010-09,0.63
65,MBS 2010-07,2010-07-08,2010-08,0.72
66,MBS 2010-07,2010-07-08,2010-07,1.37
67,MBS 2010-06,2010-06-24,2010-12,1.39
68,MBS 2010-06,2010-06-24,2010-11,1.97
69,MBS 2010-06,2010-06-24,2010-10,1.68
70,MBS 2010-06,2010-06-24,2010-09,1.22
71,MBS 2010-06,2010-06-24,2010-08,1.17
72,MBS 2010-06,2010-06-24,2010-07,1.53
73,MBS 2010-06,2010-06-24,2010-06,1.33
74,MBS 2010-05,2010-06-17,2010-12,2.7
75,MBS 2010-05,2010-06-17,2010-11,3.01
76,MBS 2010-05,2010-06-17,2010-10,1.08
77,MBS 2010-05,2010-06-17,2010-09,0.79
78,MBS 2010-05,2010-06-17,2010-08,1.13
79,MBS 2010-05,2010-06-17,2010-07,0.96
80,MBS 2010-05,2010-06-17,2010-06,0.85
81,MBS 2010-04,2010-04-23,2010-12,2.13
82,MBS 2010-04,2010-04-23,2010-11,1.44
83,MBS 2010-04,2010-04-23,2010-10,0.72
84,MBS 2010-04,2010-04-23,2010-09,0.68
85,MBS 2010-04,2010-04-23,2010-08,1.05
86,MBS 2010-04,2010-04-23,2010-07,1.21
87,MBS 2010-04,2010-04-23,2010-06,0.9
88,MBS 2010-04,2010-04-23,2010-05,0.57
89,MBS 2010-04,2010-04-23,2010-04,0.78
90,MBS 2010-03,2010-03-30,2010-12,2.34
91,MBS 2010-03,2010-03-30,2010-11,1.77
92,MBS 2010-03,2010-03-30,2010-10,0.97
93,MBS 2010-03,2010-03-30,2010-09,1.0
94,MBS 2010-03,2010-03-30,2010-08,0.71
95,MBS 2010-03,2010-03-30,2010-07,0.98
96,MBS 2010-03,2010-03-30,2010-06,0.69
97,MBS 2010-03,2010-03-30,2010-05,0.7
98,MBS 2010-03,2010-03-30,2010-04,0.59
99,MBS 2010-03,2010-03-30,2010-03,0.33
100,MBS 2010-02,2010-02-25,2010-12,2.42
101,MBS 2010-02,2010-02-25,2010-11,2.74
102,MBS 2010-02,2010-02-25,2010-10,1.13
103,MBS 2010-02,2010-02-25,2010-09,0.78
104,MBS 2010-02,2010-02-25,2010-08,0.99
105,MBS 2010-02,2010-02-25,2010-07,1.28
106,MBS 2010-02,2010-02-25,2010-06,1.21
107,MBS 2010-02,2010-02-25,2010-05,0.65
108,MBS 2010-02,2010-02-25,2010-04,0.69
109,MBS 2010-02,2010-02-25,2010-03,0.75
110,MBS 2010-02,2010-02-25,2010-02,0.34
111,MBS 2010-01,2010-01-28,2010-12,2.48
112,MBS 2010-01,2010-01-28,2010-11,2.42
113,MBS 2010-01,2010-01-28,2010-10,1.81
114,MBS 2010-01,2010-01-28,2010-09,1.26
115,MBS 2010-01,2010-01-28,2010-08,1.61
116,MBS 2010-01,2010-01-28,2010-07,1.79
117,MBS 2010-01,2010-01-28,2010-06,1.13
118,MBS 2010-01,2010-01-28,2010-05,1.28
119,MBS 2010-01,2010-01-28,2010-04,0.96
120,MBS 2010-01,2010-01-28,2010-03,0.76
121,MBS 2010-01,2010-01-28,2010-02,0.65
122,MBS 2010-01,2010-01-28,2010-01,0.33
123,MBS 2009-14,2009-12-18,2010-12,4.79
124,MBS 2009-14,2009-12-18,2010-11,5.52
125,MBS 2009-14,2009-12-18,2010-10,4.84
126,MBS 2009-14,2009-12-18,2010-09,4.12
127,MBS 2009-14,2009-12-18,2010-08,4.79
128,MBS 2009-14,2009-12-18,2010-07,6.29
129,MBS 2009-14,2009-12-18,2010-06,5.07
130,MBS 2009-14,2009-12-18,2010-05,3.66
131,MBS 2009-14,2009-12-18,2010-04,3.87
132,MBS 2009-14,2009-12-18,2010-03,2.41
133,MBS 2009-14,2009-12-18,2010-02,1.94
134,MBS 2009-14,2009-12-18,2010-01,1.36
135,MBS 2009-14,2009-12-18,2009-12,0.93
136,MBS 2009-13,2009-12-23,2010-12,2.03
137,MBS 2009-13,2009-12-23,2010-11,2.34
138,MBS 2009-13,2009-12-23,2010-10,1.94
139,MBS 2009-13,2009-12-23,2010-09,1.03
140,MBS 2009-13,2009-12-23,2010-08,1.37
141,MBS 2009-13,2009-12-23,2010-07,1.88
142,MBS 2009-13,2009-12-23,2010-06,2.01
143,MBS 2009-13,2009-12-23,2010-05,1.71
144,MBS 2009-13,2009-12-23,2010-04,2.13
145,MBS 2009-13,2009-12-23,2010-03,1.35
146,MBS 2009-13,2009-12-23,2010-02,0.86
147,MBS 2009-13,2009-12-23,2010-01,0.98
148,MBS 2009-13,2009-12-23,2009-12,1.36
149,MBS 2009-12,2009-11-20,2010-12,1.43
150,MBS 2009-12,2009-11-20,2010-11,2.19
151,MBS 2009-12,2009-11-20,2010-10,1.74
152,MBS 2009-12,2009-11-20,2010-09,1.12
153,MBS 2009-12,2009-11-20,2010-08,0.89
154,MBS 2009-12,2009-11-20,2010-07,1.23
155,MBS 2009-12,2009-11-20,2010-06,0.92
156,MBS 2009-12,2009-11-20,2010-05,0.65
157,MBS 2009-12,2009-11-20,2010-04,0.77
158,MBS 2009-12,2009-11-20,2010-03,0.68
159,MBS 2009-12,2009-11-20,2010-02,0.56
160,MBS 2009-12,2009-11-20,2010-01,0.4
161,MBS 2009-12,2009-11-20,2009-12,0.42
162,MBS 2009-12,2009-11-20,2009-11,0.34
163,MBS 2009-11,2009-11-10,2010-12,3.63
164,MBS 2009-11,2009-11-10,2010-11,4.38
165,MBS 2009-11,2009-11-10,2010-10,4.07
166,MBS 2009-11,2009-11-10,2010-09,2.49
167,MBS 2009-11,2009-11-10,2010-08,3.82
168,MBS 2009-11,2009-11-10,2010-07,6.08
169,MBS 2009-11,2009-11-10,2010-06,3.82
170,MBS 2009-11,2009-11-10,2010-05,2.93
171,MBS 2009-11,2009-11-10,2010-04,3.17
172,MBS 2009-11,2009-11-10,2010-03,1.71
173,MBS 2009-11,2009-11-10,2010-02,1.18
174,MBS 2009-11,2009-11-10,2010-01,0.85
175,MBS 2009-11,2009-11-10,2009-12,1.25
176,MBS 2009-11,2009-11-10,2009-11,0.77
177,MBS 2009-10,2009-10-16,2010-12,1.94
178,MBS 2009-10,2009-10-16,2010-11,2.15
179,MBS 2009-10,2009-10-16,2010-10,1.88
180,MBS 2009-10,2009-10-16,2010-09,1.72
181,MBS 2009-10,2009-10-16,2010-08,2.35
182,MBS 2009-10,2009-10-16,2010-07,2.51
183,MBS 2009-10,2009-10-16,2010-06,1.17
184,MBS 2009-10,2009-10-16,2010-05,1.18
185,MBS 2009-10,2009-10-16,2010-04,1.1
186,MBS 2009-10,2009-10-16,2010-03,0.94
187,MBS 2009-10,2009-10-16,2010-02,0.77
188,MBS 2009-10,2009-10-16,2010-01,0.48
189,MBS 2009-10,2009-10-16,2009-12,0.64
190,MBS 2009-10,2009-10-16,2009-11,0.62
191,MBS 2009-10,2009-10-16,2009-10,0.59
192,MBS 2009-09,2009-09-29,2010-12,1.14
193,MBS 2009-09,2009-09-29,2010-11,1.1
194,MBS 2009-09,2009-09-29,2010-10,1.22
195,MBS 2009-09,2009-09-29,2010-09,0.82
196,MBS 2009-09,2009-09-29,2010-08,1.13
197,MBS 2009-09,2009-09-29,2010-07,1.85
198,MBS 2009-09,2009-09-29,2010-06,1.32
199,MBS 2009-09,2009-09-29,2010-05,1.15
200,MBS 2009-09,2009-09-29,2010-04,0.58
201,MBS 2009-09,2009-09-29,2010-03,0.79
202,MBS 2009-09,2009-09-29,2010-02,0.69
203,MBS 2009-09,2009-09-29,2010-01,0.73
204,MBS 2009-09,2009-09-29,2009-12,0.58
205,MBS 2009-09,2009-09-29,2009-11,0.5
206,MBS 2009-09,2009-09-29,2009-10,0.55
207,MBS 2009-09,2009-09-29,2009-09,0.03
208,MBS 2009-08,2009-09-15,2010-12,4.37
209,MBS 2009-08,2009-09-15,2010-11,4.91
210,MBS 2009-08,2009-09-15,2010-10,4.22
211,MBS 2009-08,2009-09-15,2010-09,3.39
212,MBS 2009-08,2009-09-15,2010-08,5.01
213,MBS 2009-08,2009-09-15,2010-07,8.16
214,MBS 2009-08,2009-09-15,2010-06,3.86
215,MBS 2009-08,2009-09-15,2010-05,3.56
216,MBS 2009-08,2009-09-15,2010-04,2.95
217,MBS 2009-08,2009-09-15,2010-03,2.37
218,MBS 2009-08,2009-09-15,2010-02,1.57
219,MBS 2009-08,2009-09-15,2010-01,1.52
220,MBS 2009-08,2009-09-15,2009-12,1.29
221,MBS 2009-08,2009-09-15,2009-11,1.47
222,MBS 2009-08,2009-09-15,2009-10,1.8
223,MBS 2009-08,2009-09-15,2009-09,2.23
224,MBS 2009-07,2009-09-18,2010-12,1.73
225,MBS 2009-07,2009-09-18,2010-11,1.38
226,MBS 2009-07,2009-09-18,2010-10,1.31
227,MBS 2009-07,2009-09-18,2010-09,1.06
228,MBS 2009-07,2009-09-18,2010-08,1.27
229,MBS 2009-07,2009-09-18,2010-07,1.16
230,MBS 2009-07,2009-09-18,2010-06,0.97
231,MBS 2009-07,2009-09-18,2010-05,1.12
232,MBS 2009-07,2009-09-18,2010-04,1.07
233,MBS 2009-07,2009-09-18,2010-03,1.0
234,MBS 2009-07,2009-09-18,2010-02,0.95
235,MBS 2009-07,2009-09-18,2010-01,0.73
236,MBS 2009-07,2009-09-18,2009-12,0.8
237,MBS 2009-07,2009-09-18,2009-11,0.28
238,MBS 2009-07,2009-09-18,2009-10,0.88
239,MBS 2009-07,2009-09-18,2009-09,0.43
240,MBS 2009-06,2009-07-07,2010-12,3.68
241,MBS 2009-06,2009-07-07,2010-11,5.6
242,MBS 2009-06,2009-07-07,2010-10,4.42
243,MBS 2009-06,2009-07-07,2010-09,4.23
244,MBS 2009-06,2009-07-07,2010-08,4.06
245,MBS 2009-06,2009-07-07,2010-07,6.16
246,MBS 2009-06,2009-07-07,2010-06,4.75
247,MBS 2009-06,2009-07-07,2010-05,4.45
248,MBS 2009-06,2009-07-07,2010-04,2.97
249,MBS 2009-06,2009-07-07,2010-03,1.29
250,MBS 2009-06,2009-07-07,2010-02,1.3
251,MBS 2009-06,2009-07-07,2010-01,1.06
252,MBS 2009-06,2009-07-07,2009-12,1.48
253,MBS 2009-06,2009-07-07,2009-11,1.4
254,MBS 2009-06,2009-07-07,2009-10,1.42
255,MBS 2009-06,2009-07-07,2009-09,1.81
256,MBS 2009-06,2009-07-07,2009-08,2.23
257,MBS 2009-06,2009-07-07,2009-07,2.3
258,MBS 2009-05,2009-06-30,2010-12,0.67
259,MBS 2009-05,2009-06-30,2010-11,0.75
260,MBS 2009-05,2009-06-30,2010-10,0.59
261,MBS 2009-05,2009-06-30,2010-09,0.59
262,MBS 2009-05,2009-06-30,2010-08,0.55
263,MBS 2009-05,2009-06-30,2010-07,0.43
264,MBS 2009-05,2009-06-30,2010-06,0.62
265,MBS 2009-05,2009-06-30,2010-05,0.6
266,MBS 2009-05,2009-06-30,2010-04,0.54
267,MBS 2009-05,2009-06-30,2010-03,0.65
268,MBS 2009-05,2009-06-30,2010-02,0.4
269,MBS 2009-05,2009-06-30,2010-01,0.43
270,MBS 2009-05,2009-06-30,2009-12,0.28
271,MBS 2009-05,2009-06-30,2009-11,0.0
272,MBS 2009-05,2009-06-30,2009-10,0.0
273,MBS 2009-05,2009-06-30,2009-09,0.0
274,MBS 2009-05,2009-06-30,2009-08,0.0
275,MBS 2009-05,2009-06-30,2009-07,0.51
276,MBS 2009-05,2009-06-30,2009-06,0.0
277,MBS 2009-04,2009-04-29,2010-12,3.34
278,MBS 2009-04,2009-04-29,2010-11,4.48
279,MBS 2009-04,2009-04-29,2010-10,2.96
280,MBS 2009-04,2009-04-29,2010-09,3.35
281,MBS 2009-04,2009-04-29,2010-08,3.7
282,MBS 2009-04,2009-04-29,2010-07,5.89
283,MBS 2009-04,2009-04-29,2010-06,3.56
284,MBS 2009-04,2009-04-29,2010-05,3.41
285,MBS 2009-04,2009-04-29,2010-04,2.62
286,MBS 2009-04,2009-04-29,2010-03,2.44
287,MBS 2009-04,2009-04-29,2010-02,1.29
288,MBS 2009-04,2009-04-29,2010-01,1.39
289,MBS 2009-04,2009-04-29,2009-12,1.54
290,MBS 2009-04,2009-04-29,2009-11,1.09
291,MBS 2009-04,2009-04-29,2009-10,2.28
292,MBS 2009-04,2009-04-29,2009-09,1.92
293,MBS 2009-04,2009-04-29,2009-08,1.79
294,MBS 2009-04,2009-04-29,2009-07,2.21
295,MBS 2009-04,2009-04-29,2009-06,1.75
296,MBS 2009-04,2009-04-29,2009-05,1.97
297,MBS 2009-04,2009-04-29,2009-04,0.24
298,MBS 2009-03,2009-04-22,2010-12,1.48
299,MBS 2009-03,2009-04-22,2010-11,1.51
300,MBS 2009-03,2009-04-22,2010-10,1.2
301,MBS 2009-03,2009-04-22,2010-09,0.96
302,MBS 2009-03,2009-04-22,2010-08,1.08
303,MBS 2009-03,2009-04-22,2010-07,1.05
304,MBS 2009-03,2009-04-22,2010-06,1.04
305,MBS 2009-03,2009-04-22,2010-05,1.11
306,MBS 2009-03,2009-04-22,2010-04,1.14
307,MBS 2009-03,2009-04-22,2010-03,1.06
308,MBS 2009-03,2009-04-22,2010-02,1.04
309,MBS 2009-03,2009-04-22,2010-01,0.75
310,MBS 2009-03,2009-04-22,2009-12,1.09
311,MBS 2009-03,2009-04-22,2009-11,1.11
312,MBS 2009-03,2009-04-22,2009-10,1.17
313,MBS 2009-03,2009-04-22,2009-09,1.4
314,MBS 2009-03,2009-04-22,2009-08,1.26
315,MBS 2009-03,2009-04-22,2009-07,1.44
316,MBS 2009-03,2009-04-22,2009-06,1.35
317,MBS 2009-03,2009-04-22,2009-05,1.22
318,MBS 2009-03,2009-04-22,2009-04,0.96
319,MBS 2009-02,2009-03-30,2010-12,1.37
320,MBS 2009-02,2009-03-30,2010-11,1.39
321,MBS 2009-02,2009-03-30,2010-10,1.63
322,MBS 2009-02,2009-03-30,2010-09,1.38
323,MBS 2009-02,2009-03-30,2010-08,1.05
324,MBS 2009-02,2009-03-30,2010-07,1.34
325,MBS 2009-02,2009-03-30,2010-06,0.99
326,MBS 2009-02,2009-03-30,2010-05,0.89
327,MBS 2009-02,2009-03-30,2010-04,1.33
328,MBS 2009-02,2009-03-30,2010-03,1.33
329,MBS 2009-02,2009-03-30,2010-02,0.91
330,MBS 2009-02,2009-03-30,2010-01,1.02
331,MBS 2009-02,2009-03-30,2009-12,1.12
332,MBS 2009-02,2009-03-30,2009-11,0.98
333,MBS 2009-02,2009-03-30,2009-10,1.07
334,MBS 2009-02,2009-03-30,2009-09,1.29
335,MBS 2009-02,2009-03-30,2009-08,2.3
336,MBS 2009-02,2009-03-30,2009-07,1.14
337,MBS 2009-02,2009-03-30,2009-06,1.04
338,MBS 2009-02,2009-03-30,2009-05,0.9
339,MBS 2009-02,2009-03-30,2009-04,1.61
340,MBS 2009-02,2009-03-30,2009-03,1.62
341,MBS 2009-01,2009-03-20,2010-12,3.28
342,MBS 2009-01,2009-03-20,2010-11,3.86
343,MBS 2009-01,2009-03-20,2010-10,3.09
344,MBS 2009-01,2009-03-20,2010-09,2.97
345,MBS 2009-01,2009-03-20,2010-08,3.89
346,MBS 2009-01,2009-03-20,2010-07,5.17
347,MBS 2009-01,2009-03-20,2010-06,2.78
348,MBS 2009-01,2009-03-20,2010-05,2.78
349,MBS 2009-01,2009-03-20,2010-04,2.97
350,MBS 2009-01,2009-03-20,2010-03,2.23
351,MBS 2009-01,2009-03-20,2010-02,1.86
352,MBS 2009-01,2009-03-20,2010-01,1.67
353,MBS 2009-01,2009-03-20,2009-12,1.39
354,MBS 2009-01,2009-03-20,2009-11,0.86
355,MBS 2009-01,2009-03-20,2009-10,1.66
356,MBS 2009-01,2009-03-20,2009-09,1.65
357,MBS 2009-01,2009-03-20,2009-08,1.55
358,MBS 2009-01,2009-03-20,2009-07,1.52
359,MBS 2009-01,2009-03-20,2009-06,1.64
360,MBS 2009-01,2009-03-20,2009-05,1.66
361,MBS 2009-01,2009-03-20,2009-04,1.66
362,MBS 2009-01,2009-03-20,2009-03,1.4
363,MBS 2008-07,2008-06-13,2010-12,3.64
364,MBS 2008-07,2008-06-13,2010-11,5.41
365,MBS 2008-07,2008-06-13,2010-10,4.7
366,MBS 2008-07,2008-06-13,2010-09,2.97
367,MBS 2008-07,2008-06-13,2010-08,3.85
368,MBS 2008-07,2008-06-13,2010-07,5.18
369,MBS 2008-07,2008-06-13,2010-06,3.95
370,MBS 2008-07,2008-06-13,2010-05,2.94
371,MBS 2008-07,2008-06-13,2010-04,2.74
372,MBS 2008-07,2008-06-13,2010-03,2.02
373,MBS 2008-07,2008-06-13,2010-02,1.75
374,MBS 2008-07,2008-06-13,2010-01,0.91
375,MBS 2008-07,2008-06-13,2009-12,1.27
376,MBS 2008-07,2008-06-13,2009-11,1.23
377,MBS 2008-07,2008-06-13,2009-10,1.63
378,MBS 2008-07,2008-06-13,2009-09,1.35
379,MBS 2008-07,2008-06-13,2009-08,1.65
380,MBS 2008-07,2008-06-13,2009-07,1.94
381,MBS 2008-07,2008-06-13,2009-06,2.21
382,MBS 2008-07,2008-06-13,2009-05,1.57
383,MBS 2008-07,2008-06-13,2009-04,2.27
384,MBS 2008-07,2008-06-13,2009-03,1.08
385,MBS 2008-07,2008-06-13,2009-02,1.14
386,MBS 2008-07,2008-06-13,2009-01,0.56
387,MBS 2008-07,2008-06-13,2008-12,0.26
388,MBS 2008-07,2008-06-13,2008-11,0.44
389,MBS 2008-07,2008-06-13,2008-10,0.61
390,MBS 2008-07,2008-06-13,2008-09,0.69
391,MBS 2008-07,2008-06-13,2008-08,0.56
392,MBS 2008-07,2008-06-13,2008-07,0.36
393,MBS 2008-07,2008-06-13,2008-06,0.54
394,MBS 2008-06,2008-05-27,2010-12,3.3
395,MBS 2008-06,2008-05-27,2010-11,3.71
396,MBS 2008-06,2008-05-27,2010-10,2.75
397,MBS 2008-06,2008-05-27,2010-09,2.59
398,MBS 2008-06,2008-05-27,2010-08,2.62
399,MBS 2008-06,2008-05-27,2010-07,5.32
400,MBS 2008-06,2008-05-27,2010-06,2.92
401,MBS 2008-06,2008-05-27,2010-05,2.74
402,MBS 2008-06,2008-05-27,2010-04,3.41
403,MBS 2008-06,2008-05-27,2010-03,1.97
404,MBS 2008-06,2008-05-27,2010-02,1.49
405,MBS 2008-06,2008-05-27,2010-01,1.25
406,MBS 2008-06,2008-05-27,2009-12,1.39
407,MBS 2008-06,2008-05-27,2009-11,0.92
408,MBS 2008-06,2008-05-27,2009-10,1.34
409,MBS 2008-06,2008-05-27,2009-09,1.54
410,MBS 2008-06,2008-05-27,2009-08,1.54
411,MBS 2008-06,2008-05-27,2009-07,1.84
412,MBS 2008-06,2008-05-27,2009-06,2.21
413,MBS 2008-06,2008-05-27,2009-05,1.69
414,MBS 2008-06,2008-05-27,2009-04,1.91
415,MBS 2008-06,2008-05-27,2009-03,1.08
416,MBS 2008-06,2008-05-27,2009-02,0.93
417,MBS 2008-06,2008-05-27,2009-01,0.42
418,MBS 2008-06,2008-05-27,2008-12,0.28
419,MBS 2008-06,2008-05-27,2008-11,0.37
420,MBS 2008-06,2008-05-27,2008-10,0.63
421,MBS 2008-06,2008-05-27,2008-09,0.43
422,MBS 2008-06,2008-05-27,2008-08,0.44
423,MBS 2008-06,2008-05-27,2008-07,0.4
424,MBS 2008-06,2008-05-27,2008-06,0.45
425,MBS 2008-06,2008-05-27,2008-05,0.18
426,MBS 2008-05,2008-05-06,2010-12,3.35
427,MBS 2008-05,2008-05-06,2010-11,3.38
428,MBS 2008-05,2008-05-06,2010-10,2.92
429,MBS 2008-05,2008-05-06,2010-09,2.54
430,MBS 2008-05,2008-05-06,2010-08,3.04
431,MBS 2008-05,2008-05-06,2010-07,4.19
432,MBS 2008-05,2008-05-06,2010-06,2.55
433,MBS 2008-05,2008-05-06,2010-05,2.35
434,MBS 2008-05,2008-05-06,2010-04,2.04
435,MBS 2008-05,2008-05-06,2010-03,2.63
436,MBS 2008-05,2008-05-06,2010-02,2.08
437,MBS 2008-05,2008-05-06,2010-01,1.69
438,MBS 2008-05,2008-05-06,2009-12,1.4
439,MBS 2008-05,2008-05-06,2009-11,1.45
440,MBS 2008-05,2008-05-06,2009-10,1.35
441,MBS 2008-05,2008-05-06,2009-09,1.37
442,MBS 2008-05,2008-05-06,2009-08,1.4
443,MBS 2008-05,2008-05-06,2009-07,1.67
444,MBS 2008-05,2008-05-06,2009-06,1.3
445,MBS 2008-05,2008-05-06,2009-05,1.26
446,MBS 2008-05,2008-05-06,2009-04,1.68
447,MBS 2008-05,2008-05-06,2009-03,1.59
448,MBS 2008-05,2008-05-06,2009-02,0.97
449,MBS 2008-05,2008-05-06,2009-01,0.56
450,MBS 2008-05,2008-05-06,2008-12,0.35
451,MBS 2008-05,2008-05-06,2008-11,0.35
452,MBS 2008-05,2008-05-06,2008-10,0.44
453,MBS 2008-05,2008-05-06,2008-09,0.53
454,MBS 2008-05,2008-05-06,2008-08,0.5
455,MBS 2008-05,2008-05-06,2008-07,0.51
456,MBS 2008-05,2008-05-06,2008-06,0.68
457,MBS 2008-05,2008-05-06,2008-05,0.0
458,MBS 2008-04,2008-04-15,2010-12,4.81
459,MBS 2008-04,2008-04-15,2010-11,3.88
460,MBS 2008-04,2008-04-15,2010-10,2.95
461,MBS 2008-04,2008-04-15,2010-09,2.64
462,MBS 2008-04,2008-04-15,2010-08,2.79
463,MBS 2008-04,2008-04-15,2010-07,3.8
464,MBS 2008-04,2008-04-15,2010-06,3.04
465,MBS 2008-04,2008-04-15,2010-05,2.38
466,MBS 2008-04,2008-04-15,2010-04,2.05
467,MBS 2008-04,2008-04-15,2010-03,2.17
468,MBS 2008-04,2008-04-15,2010-02,1.75
469,MBS 2008-04,2008-04-15,2010-01,1.8
470,MBS 2008-04,2008-04-15,2009-12,1.83
471,MBS 2008-04,2008-04-15,2009-11,1.63
472,MBS 2008-04,2008-04-15,2009-10,1.69
473,MBS 2008-04,2008-04-15,2009-09,1.19
474,MBS 2008-04,2008-04-15,2009-08,1.33
475,MBS 2008-04,2008-04-15,2009-07,1.68
476,MBS 2008-04,2008-04-15,2009-06,1.64
477,MBS 2008-04,2008-04-15,2009-05,1.89
478,MBS 2008-04,2008-04-15,2009-04,1.83
479,MBS 2008-04,2008-04-15,2009-03,1.96
480,MBS 2008-04,2008-04-15,2009-02,1.14
481,MBS 2008-04,2008-04-15,2009-01,0.84
482,MBS 2008-04,2008-04-15,2008-12,0.79
483,MBS 2008-04,2008-04-15,2008-11,0.39
484,MBS 2008-04,2008-04-15,2008-10,0.78
485,MBS 2008-04,2008-04-15,2008-09,0.81
486,MBS 2008-04,2008-04-15,2008-08,0.63
487,MBS 2008-04,2008-04-15,2008-07,0.81
488,MBS 2008-04,2008-04-15,2008-06,0.71
489,MBS 2008-04,2008-04-15,2008-05,0.82
490,MBS 2008-04,2008-04-15,2008-04,0.0
491,MBS 2008-03,2008-03-27,2010-12,9.16
492,MBS 2008-03,2008-03-27,2010-11,4.18
493,MBS 2008-03,2008-03-27,2010-10,2.83
494,MBS 2008-03,2008-03-27,2010-09,1.88
495,MBS 2008-03,2008-03-27,2010-08,1.97
496,MBS 2008-03,2008-03-27,2010-07,3.64
497,MBS 2008-03,2008-03-27,2010-06,2.94
498,MBS 2008-03,2008-03-27,2010-05,2.58
499,MBS 2008-03,2008-03-27,2010-04,2.3
500,MBS 2008-03,2008-03-27,2010-03,1.44
501,MBS 2008-03,2008-03-27,2010-02,1.46
502,MBS 2008-03,2008-03-27,2010-01,1.2
503,MBS 2008-03,2008-03-27,2009-12,2.38
504,MBS 2008-03,2008-03-27,2009-11,1.69
505,MBS 2008-03,2008-03-27,2009-10,1.55
506,MBS 2008-03,2008-03-27,2009-09,1.38
507,MBS 2008-03,2008-03-27,2009-08,1.46
508,MBS 2008-03,2008-03-27,2009-07,2.44
509,MBS 2008-03,2008-03-27,2009-06,1.95
510,MBS 2008-03,2008-03-27,2009-05,1.18
511,MBS 2008-03,2008-03-27,2009-04,1.79
512,MBS 2008-03,2008-03-27,2009-03,1.62
513,MBS 2008-03,2008-03-27,2009-02,1.07
514,MBS 2008-03,2008-03-27,2009-01,0.62
515,MBS 2008-03,2008-03-27,2008-12,0.65
516,MBS 2008-03,2008-03-27,2008-11,0.46
